1,Boulder Backroads MarathonBoulder Backroads Marathon CommentsBoulder Backroads Marathon NewsBoulder Backroads Marathon Results,10/1/2017,Boulder,CO
2,Lakefront MarathonLakefront Marathon CommentsLakefront Marathon NewsLakefront Marathon Results,10/1/2017,Milwaukee,WI
3,Maine MarathonMaine Marathon CommentsMaine Marathon NewsMaine Marathon Results,10/1/2017,Portland,ME
4,Marathon de RimouskiMarathon de Rimouski CommentsMarathon de Rimouski Results,10/1/2017,Rimouski,QC
5,Mo' Cowbell MarathonMo' Cowbell Marathon CommentsMo' Cowbell Marathon Results,10/1/2017,St. Charles,MO
6,Shenipsit Striders NipMuck Trail MarathonNipMuck Trail Marathon CommentsNipMuck Trail Marathon NewsNipMuck Trail Marathon Results,10/1/2017,Ashford,CT
7,Northern Ohio MarathonNorthern Ohio Marathon CommentsNorthern Ohio Marathon NewsNorthern Ohio Marathon Results,10/1/2017,Cleveland,OH
8,PEC MarathonPEC Marathon CommentsPEC Marathon NewsPEC Marathon Results,10/1/2017,Picton,ON
9,Southern Tennessee Medical Center Southern Tennessee Plunge MarathonSouthern Tennessee Plunge Marathon CommentsSouthern Tennessee Plunge Marathon NewsSouthern Tennessee Plunge Marathon Results,????,Winchester,TN
10,Medtronic Twin Cities MarathonTwin Cities Marathon CommentsTwin Cities Marathon NewsTwin Cities Marathon Press ReleasesTwin Cities Marathon Results,10/1/2017,Minneapolis/St.Paul,MN
11,Wineglass MarathonWineglass Marathon CommentsWineglass Marathon NewsWineglass Marathon Results,10/1/2017,Corning,NY
12,YMCA Stone Bridge MarathonYMCA Stone Bridge Marathon CommentsYMCA Stone Bridge Marathon Results,????,Roscoe,IL
13,the county marathonthe county marathon Commentsthe county marathon Newsthe county marathon Results,10/1/2017,Wellington,ON
14,Appalachian Series - WVAppalachian Series - WV Results,10/7/2017,Bluefield,WV
15,Prairie State MarathonPrairie State Marathon CommentsPrairie State Marathon NewsPrairie State Marathon Results,10/7/2017,Libertyville,IL
