Avenue of the Giants Marathon,5/6/2018,Eureka,CA,36,https://http://www.theave.org/,ave-giants.jpg
Barber Honda Bakersfield Marathon,11/12/2017,Bakersfield,CA,1,https://runsignup.com/Race/CA/Bakersfield/BakersfieldMarathonandHalf,barber-honda-bakersfield-marathon.jpg
Big Sur International Marathon,4/29/2018,Carmel,CA,37,http://www.bsim.org/site3.aspx,big-sur.jpg
Bizz Johnson Trail Marathon,10/8/2017,Susanville,CA,2,https://www.halfmarathons.net/california-bizz-johnson-trail-express-half-marathons/,bizz-johnson.jpg
Cal-Neva Marathon,10/14/2017,Lake Tahoe,CA,3,http://www.laketahoemarathon.com/cal-neva,lake-tahoe.jpg
California International Marathon,12/3/2017,Sacramento,CA,21,https://runsra.org/california-international-marathon/,california-international.jpg
Carlsbad Marathon,1/14/2018,Carlsbad,CA,22,http://www.carlsbadmarathon.com/#,carlsbad.jpg
Catalina Marathon,3/10/2018,Catalina,CA,26,http://spectrumsportsevents.com/catalina-island-marathon?RL=1,catalina-marathon.jpg
Cloverdale Harvest Marathon,10/22/2017,Cloverdale,CA,4,https://www.halfmarathons.net/california-cloverdale-harvest-marathon-half-marathon-10k/,cloverdale-harvest.jpg
Death Valley Trail Marathon,12/2/2017,Death Valley,CA,23,https://raceroster.com/events/2018/12132/2018-death-valley-marathon-half-marathon-10k,death-valley-trial.jpg
Enviro-Sports Golden Gate Headlands Marathon,3/31/2018,Sausalito,CA,29,https://raceroster.com/events/2018/12895/2018-golden-gate-headlands-marathon-half-marathon-10k?RL=1,enviro-sports-death-valley-borax.jpg
Enviro-Sports Muir Woods Trail Marathon,5/12/2018,Stinson Beach,CA,39,https://raceroster.com/events/2018/13263/2018-muir-woods-marathon-half-marathon-7-mile?RL=1,enviro-sports-golden-gate-headlands.jpg
Enviro-Sports Napa Valley Trail Marathon,3/17/2018,Calistoga,CA,32,https://raceroster.com/events/2018/12894/2018-napa-valley-trail-marathon-half-marathon-10k?RL=1,enviro-sports-muir-woods-trail.jpg
Envirosports Death Valley Borax Marathon,2/3/2018,Death Valley,CA,28,https://raceroster.com/events/2018/12132/2018-death-valley-marathon-half-marathon-10k,enviro-sports-napa-valley-trail.jpg
Humboldt Redwoods Marathon,10/15/2017,Weott,CA,5,http://www.redwoodsmarathon.org/,homboldt-redwoods.jpg
Kaiser Permanente Health Care Napa Valley Marathon,3/4/2018,Napa,CA,31,http://napavalleymarathon.org/?RL=1,kaiser-permanente-health-care-napa-valley.jpg
Lake Chabot Trail Marathon,11/4/2017,Castro Valley,CA,6,http://www.cvtrackclub.com/trailchallenge.html,lake-chabot.jpeg
Lake Tahoe Marathon,10/15/2017,South Lake Tahoe,CA,7,http://www.laketahoemarathon.com/,lake-tahoe.jpg
Lakeside Marathon,10/13/2017,Lake Tahoe,CA,8,https://worldsmarathons.com/marathon/lakeside-marathon,
Long Beach Marathon,10/8/2017,Long Beach,CA,9,https://www.motivrunning.com/run-longbeach/,
Morgan Hill Marathon,10/22/2017,Morgan Hill,CA,10,http://www.mhmarathon.com/,
Mountains 2 Beach Marathon,5/27/2018,Ojai,CA,38,https://mountains2beachmarathon.com/,
Napa Valley Wine Country Trail Marathon,10/21/2017,Calistoga,CA,11,https://raceroster.com/events/2018/12894/2018-napa-valley-trail-marathon-half-marathon-10k,
New Catalina Eco Marathon,11/18/2017,Avalon,CA,12,http://spectrumsportsevents.com/catalina-eco-marathon,
Oakland Marathon,3/25/2018,Oakland,CA,33,http://oaklandmarathon.com/,
Operation Jack Marathon,12/26/2017,Los Angeles,CA,24,http://www.operationjack.org/races/operation-jack-marathon-los-angeles/,
Parkway Motocars Santa Clarita Marathon,11/5/2017,Santa Clarita,CA,14,http://scmarathon.org/,
Redding Marathon,1/14/2018,Redding,CA,25,http://www.reddingmarathon.org/,
REVEL Canyon City Marathon,11/4/2017,Azusa,CA,13,https://www.runrevel.com/rcc,
San Luis Obispo Marathon,4/29/2018,San Luis Obispo,CA,42,https://www.halfmarathons.net/california-san-luis-obispo-marathon-half-marathon/,
San Miguel Buzz Marathon,2/18/2018,San Miguel,CA,34,http://www.buzzmarathon.org/?RL=1,
Skechers Performance City of Los Angeles Marathon (L.A. Marathon),3/18/2018,Los Angeles,CA,27,http://www.lamarathon.com/participant-info/general-information,
Skyline to the SeaSkyline to the Sea,10/7/2017,Los Gatos,CA,15,http://www.pctrailruns.com/event.aspx?RL=1&dtid=11008,
Stinson Beach Marathon,10/28/2017,Stinson Beach,CA,16,https://raceroster.com/events/2017/10713/2017-stinson-beach-marathon-half-marathon-7-mile,
Suja Rock 'n' Roll Marathon,6/3/2018,San Diego,CA,41,http://www.runrocknroll.com/san-diego/?RL=1,
Surf City Marathon,2/4/2018,Huntington Beach,CA,35,https://www.active.com/huntington-beach-ca/running/distance-running-races/surf-city-marathon-and-half-marathon-2018,
Surfers Path Marathon,5/20/2018,Santa Cruz,CA,43,https://www.halfmarathons.net/california-surfers-path-marathon-capitola-half-marathon/,
Surfers Point Marathon,11/12/2017,Ventura,CA,17,http://www.surferspointmarathon.com/?RL=1,
Sutter Health Memorial Medical Center Modesto Marathon,3/11/2018,Modesto,CA,30,http://modestomarathon.com/?RL=1,
The North Face Endurance Challenge - California,11/18/2017,San Francisco,CA,18,https://www.thenorthface.com/get-outdoors/endurance-challenge/california.html?RL=1,
The San Francisco Marathon,7/22/2018,San Francisco,CA,45,http://www.thesfmarathon.com/?RL=1,
The Santa Rosa Marathon,8/27/2018,Santa Rosa,CA,46,https://www.thesantarosamarathon.com/?RL=1,santa-rosa-marathon.jpg
Two Cities Marathon,11/5/2017,Fresno,CA,19,http://www.twocitiesmarathon.com/,two-cities-marathon.jpg
U.S. Bank OC Marathon,5/6/2018,Newport Beach,CA,40,http://www.ocmarathon.com/?RL=1,ocmarathon.jpg
Ventura Marathon,10/22/2017,Ventura,CA,20,https://venturamarathon.com/?RL=1,ventura-marathon.jpg
Wild Wild West Marathon,5/5/2018,Lone Pine,CA,44,http://lonepinechamber.org/event/2017-wild-wild-west-marathon/?RL=1,wild-west-marathon.jpg
